PRN_A,PRN_B,RHO,N_proteins
PRN01,PRN02,-0.0269731360904493,17520
PRN01,PRN03,-0.113470159304885,34880
PRN01,PRN04,0.27077943831804,4080
PRN01,PRN05,0.223353644006008,13760
PRN01,PRN06,0.0316022236402786,15040
PRN01,PRN07,0.249349083103298,3280
PRN01,PRN08,-0.1522955937935,6000
PRN01,PRN09,-0.245882886011485,8080
PRN01,PRN10,-0.232016485865483,1440
PRN01,PRN11,0.214411371169926,35120
PRN01,PRN12,0.154250467973031,9680
PRN01,PRN13,-0.132927899018073,20160
PRN01,PRN14,0.21298797332375,6560
PRN01,PRN15,-0.10781612901346,35120
PRN01,PRN16,0.083078824486959,21920
PRN01,PRN17,-0.0260175534468473,62640
PRN01,PRN18,0.108501745698434,30320
PRN01,PRN19,0.0787693754030538,35440
PRN01,PRN20,0.0437183953482746,6320
PRN01,PRN21,-0.108753874414439,18160
PRN01,PRN22,0.0135789373350316,14960
PRN01,PRN23,-0.109760808457096,21040
PRN01,PRN24,-0.0877158844781255,16960
PRN01,PRN25,-0.0968365352881591,33920
PRN01,PRN26,-0.0343053593892718,7760
PRN01,PRN27,0.244311102374736,28080
PRN01,PRN28,0.152706325282017,21760
PRN01,PRN29,0.164597561406701,1600
PRN01,PRN30,0.352873893341246,2960
PRN01,PRN31,-0.0221114942145798,66880
PRN01,PRN32,0.167092195568873,5280
PRN01,PRN33,0.0805229567858828,27760
PRN01,PRN34,0.00280349560050018,17920
PRN01,PRN35,-0.15197117887948,41760
PRN01,PRN36,-0.0488464153753303,76640
PRN01,PRN37,0.124197780405985,75360
PRN01,PRN38,0.163573927878067,17520
PRN01,PRN39,-0.0197863864368191,50240
PRN01,PRN40,0.055925626435714,4560
PRN01,PRN41,-0.00838609222586704,19280
PRN02,PRN03,-0.043914734485814,95484
PRN02,PRN04,-0.0445165652548354,11169
PRN02,PRN05,-0.019155480916921,37668
PRN02,PRN06,0.00728004402255933,41172
PRN02,PRN07,-0.166096803412887,8979
PRN02,PRN08,0.0448752709979683,16425
PRN02,PRN09,-0.0454616300069792,22119
PRN02,PRN10,0.0487423948704782,3942
PRN02,PRN11,-0.11719135875207,96141
PRN02,PRN12,-0.083016752659746,26499
PRN02,PRN13,-0.0651209859184358,55188
PRN02,PRN14,-0.161730119062455,17958
PRN02,PRN15,-0.0429131548713107,96141
PRN02,PRN16,0.0449221111880745,60006
PRN02,PRN17,0.000498563653746465,171477
PRN02,PRN18,-0.0387571222330795,83001
PRN02,PRN19,-0.0631932169020629,97017
PRN02,PRN20,-0.138104008309664,17301
PRN02,PRN21,-0.0525186556863066,49713
PRN02,PRN22,0.0376714855878592,40953
PRN02,PRN23,-0.0561616028038955,57597
PRN02,PRN24,-0.052293499825819,46428
PRN02,PRN25,-0.0472600272682403,92856
PRN02,PRN26,0.0368654848161822,21243
PRN02,PRN27,-0.0805010966295208,76869
PRN02,PRN28,-0.109958077711122,59568
PRN02,PRN29,-0.0267555437093243,4380
PRN02,PRN30,-0.0901258349394726,8103
PRN02,PRN31,-0.0810221019144897,183084
PRN02,PRN32,0.028740279632346,14454
PRN02,PRN33,0.0356988650850323,75993
PRN02,PRN34,-0.0518143651818155,49056
PRN02,PRN35,-0.0613669118722897,114318
PRN02,PRN36,0.0562166635871555,209802
PRN02,PRN37,-0.00994531686375652,206298
PRN02,PRN38,-0.148775423623823,47961
PRN02,PRN39,-0.0832584803561432,137532
PRN02,PRN40,0.0110166248686744,12483
PRN02,PRN41,0.0405001552692002,52779
PRN03,PRN04,0.14018763007446,22236
PRN03,PRN05,0.0490403879417543,74992
PRN03,PRN06,0.109934569010149,81968
PRN03,PRN07,0.201000852224652,17876
PRN03,PRN08,-0.166607179093742,32700
PRN03,PRN09,0.219328563193994,44036
PRN03,PRN10,0.0752799509641672,7848
PRN03,PRN11,0.0789351039607182,191404
PRN03,PRN12,-0.0804472672549868,52756
PRN03,PRN13,0.312918458599626,109872
PRN03,PRN14,-0.0597768522586872,35752
PRN03,PRN15,0.282348881969926,191404
PRN03,PRN16,-0.161172785868562,119464
PRN03,PRN17,0.178784890036492,341388
PRN03,PRN18,-0.199124753909994,165244
PRN03,PRN19,0.00454670461974106,193148
PRN03,PRN20,0.00556988063678528,34444
PRN03,PRN21,0.320385864764527,98972
PRN03,PRN22,-0.264662030672949,81532
