Progulon_ID,med_RNA_RNA_PCC,med_pro_pro_PCC,med_RNA_pro_PCC,p_PCORvsRCOR,p_RNAtoPRO,prn_function,med_mRNA_mad,med_prot_mad
PRN01,0.620712279191919,0.691811199257375,0.122983615325877,2.94220240197688e-28,0.0013998600139986,Ribosome,0.444644459798919,0.12064133829424
PRN02,0.0656375047298487,0.118520068463623,0.12685438203896,6.13661312080934e-49,0.0767923207679232,"Vesicular transport, AP-3",0.309863388484173,0.199946521622034
PRN03,0.0457758627700819,0.326334270901439,0.209036571462837,0,0.0007999200079992,"ETC, complex I,II,III",0.353016570853036,0.304332994438859
PRN04,0.245281590400525,0.28905386143631,0.115493007400456,1.67963074081075e-17,0.0035996400359964,"Proteasome, regulatory",0.288927194038387,0.107160610468471
PRN05,0.0663087071986046,0.179411078406496,0.104120671921969,2.34535512157187e-123,9.99900009999e-05,Translation initiation,0.310629202201907,0.142385688124655
PRN06,0.0265487993829373,0.149093465429943,0.135910409437564,3.81734868001036e-203,0.0164983501649835,"Vesicular transport, COPI",0.290449138691714,0.133170653405789
PRN07,0.27866930233518,0.13374828847242,0.128377839765815,3.28922435577195e-10,0.090990900909909,"Proteasome, core",0.288730726680612,0.110608275427255
PRN08,0.226157139261918,0.319225826209704,0.487419404568741,1.64188444333242e-26,9.99900009999e-05,Interferon response,0.586404262650569,0.69641104386866
PRN09,0.0423003568166752,0.154057982825699,0.236347142023126,4.05813126338714e-47,0.01999800019998,Myosin cytoskeleton,0.411912287621123,0.278187355706474
PRN10,0.357112218478347,0.689669469979759,0.23254066976988,3.7574180787958e-14,0.505949405059494,Actin cytoskeleton,0.409840833323188,0.226176169050149
PRN11,0.0823882474234351,0.0565327495270765,0.112051832749111,8.15362640182823e-29,9.99900009999e-05,"Protein folding, prefoldin",0.313261120756342,0.13764636050005
PRN12,0.211419462178335,0.538936813416461,0.0591042843241161,0,9.99900009999e-05,rRNA processing,0.307983392015745,0.207424472036624
PRN13,0.0486564245875211,0.37907900749158,0.216596030488231,0,0.0080991900809919,"ETC, complex I,II (a)",0.365767808283286,0.313369455032896
PRN14,0.135290448991987,0.557083080015033,0.151124607220165,0,0.112488751124888,hnRNPs,0.285037432750014,0.119372013264772
PRN15,0.0400902188181207,0.280189723980063,0.225436780506505,0,9.99900009999e-05,"ETC, complex I,II (b)",0.36123604024262,0.319721117854813
PRN16,0.0318784291561585,0.31931273863517,0.108796955277006,0,9.99900009999e-05,Cohesin,0.285487557280336,0.173016289271271
PRN17,0.0282471401002666,0.243424284781949,0.120997264008253,0,9.99900009999e-05,mito. 28S ribosome (b),0.311388322460006,0.22512061556142
PRN18,0.0566331902434461,0.461719669208856,0.106830419913764,0,9.99900009999e-05,"Splicing, U1/U2 (a)",0.284574883503053,0.158385581785271
PRN19,0.0436078988440229,0.170408160502451,0.0809731336736352,0,9.99900009999e-05,"Splicing, U4/U6.U5",0.287752594759587,0.155501551429593
PRN20,0.0733910562007229,0.291033712640837,0.039787262924874,8.20451434470012e-88,9.99900009999e-05,Nuclear pore,0.291412752902898,0.116624814453138
