Protein_IDs,Progulon_ID,SimpleID,Protein_names,Gene_names,Mean_RF_score,Manual_annotation,Highlight_genes
P36957,PRN21,P36957,"Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial",DLST,0.700102087,aKG depletion,DLST
P00367;P00367-2,PRN21,P00367,"Glutamate dehydrogenase 1, mitochondrial",GLUD1,0.628293658,aKG depletion,
O15382;O15382-2,PRN21,O15382,"Branched-chain-amino-acid aminotransferase, mitochondrial",BCAT2,0.587256383,aKG depletion,
Q02978;Q02978-2,PRN21,Q02978,Mitochondrial 2-oxoglutarate/malate carrier protein,SLC25A11,0.564026939,aKG depletion,
P09622;P09622-2;P09622-3,PRN21,P09622,"Dihydrolipoyl dehydrogenase, mitochondrial",DLD,0.624164616,aKG depletion,
Q02218;Q02218-2,PRN21,Q02218,"2-oxoglutarate dehydrogenase, mitochondrial",OGDH,0.564524547,aKG depletion,
P24539,PRN21,P24539,"ATP synthase F(0) complex subunit B1, mitochondrial",ATP5F1,0.969737551,ATP synthase,
P06576,PRN21,P06576,"ATP synthase subunit beta, mitochondrial",ATP5B,0.959637531,ATP synthase,
P48047,PRN21,P48047,"ATP synthase subunit O, mitochondrial",ATP5O,0.951791465,ATP synthase,
P25705;P25705-3,PRN21,P25705,"ATP synthase subunit alpha, mitochondrial",ATP5A1,0.939880625,ATP synthase,
O75947;O75947-2,PRN21,O75947,"ATP synthase subunit d, mitochondrial",ATP5H,0.918060386,ATP synthase,
O75964,PRN21,O75964,"ATP synthase subunit g, mitochondrial",ATP5L,0.901443218,ATP synthase,
P56385,PRN21,P56385,"ATP synthase subunit e, mitochondrial",ATP5I,0.856204987,ATP synthase,
P56134;P56134-3,PRN21,P56134,"ATP synthase subunit f, mitochondrial",ATP5J2,0.816076708,ATP synthase,
P36542,PRN21,P36542,"ATP synthase subunit gamma, mitochondrial",ATP5C1,0.800113044,ATP synthase,
P30049,PRN21,P30049,"ATP synthase subunit delta, mitochondrial",ATP5D,0.7987062,ATP synthase,
Q96IX5,PRN21,Q96IX5,Up-regulated during skeletal muscle growth protein 5,USMG5,0.780650759,ATP synthase,
P56134-2;P56134-4,PRN21,P56134,"ATP synthase subunit f, mitochondrial",ATP5J2,0.747518012,ATP synthase,
P03928,PRN21,P03928,ATP synthase protein 8,MT-ATP8,0.739374614,ATP synthase,
P56378;P56378-2,PRN21,P56378,6.8 kDa mitochondrial proteolipid,MP68,0.724852404,ATP synthase,
Q99766,PRN21,Q99766,"ATP synthase subunit s, mitochondrial",ATP5S,0.588540097,ATP synthase,
P56381,PRN21,P56381,"ATP synthase subunit epsilon, mitochondrial",ATP5E,0.568991402,ATP synthase,
P00846,PRN21,P00846,ATP synthase subunit a,MT-ATP6,0.565728641,ATP synthase,
P18859;P18859-2,PRN21,P18859,"ATP synthase-coupling factor 6, mitochondrial",ATP5J,0.558335902,ATP synthase,
O75489,PRN21,O75489,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 3, mitochondrial",NDUFS3,0.643045705,Complex I,
O95298;E9PQ53;O95298-2;O95298-3,PRN21,O95298,"NADH dehydrogenase [ubiquinone] 1 subunit C2;NADH dehydrogenase [ubiquinone] 1 subunit C2, isoform 2",NDUFC2;NDUFC2-KCTD14,0.642767701,Complex I,
O75438;O75438-2,PRN21,O75438,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 1,NDUFB1,0.639067187,Complex I,
O95139;O95139-2,PRN21,O95139,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 6,NDUFB6,0.638860505,Complex I,
O00217,PRN21,O00217,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial",NDUFS8,0.630871642,Complex I,
O75251;O75251-2,PRN21,O75251,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 7, mitochondrial",NDUFS7,0.625157961,Complex I,
O96000;O96000-2,PRN21,O96000,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 10,NDUFB10,0.623784911,Complex I,
Q9P0J0;Q9P0J0-2,PRN21,Q9P0J0,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 13,NDUFA13,0.620553289,Complex I,
Q16718;Q16718-2,PRN21,Q16718,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 5,NDUFA5,0.616417355,Complex I,
Q9NX14;Q9NX14-2,PRN21,Q9NX14,"NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 11, mitochondrial",NDUFB11,0.607733188,Complex I,
O95169-3;O95169;O95169-2,PRN21,O95169,"NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 8, mitochondrial",NDUFB8,0.603974502,Complex I,
O43920,PRN21,O43920,NADH dehydrogenase [ubiquinone] iron-sulfur protein 5,NDUFS5,0.598185753,Complex I,
P17568,PRN21,P17568,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 7,NDUFB7,0.589670519,Complex I,
O15239,PRN21,O15239,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 1,NDUFA1,0.588443933,Complex I,
P19404,PRN21,P19404,"NADH dehydrogenase [ubiquinone] flavoprotein 2, mitochondrial",NDUFV2,0.587673183,Complex I,
P03897,PRN21,P03897,NADH-ubiquinone oxidoreductase chain 3,MT-ND3,0.586779535,Complex I,
Q16795,PRN21,Q16795,"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 9, mitochondrial",NDUFA9,0.586318921,Complex I,
P28331;P28331-2;P28331-4;P28331-5;P28331-3,PRN21,P28331,"NADH-ubiquinone oxidoreductase 75 kDa subunit, mitochondrial",NDUFS1,0.582025229,Complex I,
O95168;O95168-2,PRN21,O95168,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 4,NDUFB4,0.580358989,Complex I,
O43678;O43678-2,PRN21,O43678,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 2,NDUFA2,0.579887737,Complex I,
P49821-2;P49821,PRN21,P49821,"NADH dehydrogenase [ubiquinone] flavoprotein 1, mitochondrial",NDUFV1,0.575028715,Complex I,
O43674;O43674-2,PRN21,O43674,"NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 5, mitochondrial",NDUFB5,0.573720621,Complex I,
Q86Y39;Q86Y39-2,PRN21,Q86Y39,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 11,NDUFA11,0.562530788,Complex I,
Q9Y6M9,PRN21,Q9Y6M9,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 9,NDUFB9,0.560502955,Complex I,
