Gene stable ID,Gene start (bp),Gene end (bp),Chromosome/scaffold name,Strand,UniProtKB/Swiss-Prot ID
ENSG00000268991,16539066,16539575,1,1,A6NCW3
ENSG00000058673,203795654,203854999,1,1,O75152
ENSG00000133055,203167811,203175813,1,-1,Q13203
ENSG00000174059,207880972,207911402,1,-1,P28906
ENSG00000163431,201896452,201946588,1,-1,P29536
ENSG00000117834,48222685,48248644,1,1,Q2M3M2
ENSG00000143119,110873154,110899928,1,1,P19397
ENSG00000116962,235975830,236065162,1,-1,P14543
ENSG00000117335,207752057,207795513,1,1,P15529
ENSG00000116353,29192873,29230942,1,-1,Q9BV79
ENSG00000021852,56929210,56966140,1,-1,P07358
ENSG00000160803,156035301,156053794,1,-1,Q9NRR5
ENSG00000162885,235449923,235504481,1,-1,Q8NCR0
ENSG00000117461,46040140,46133036,1,-1,Q92569
ENSG00000215883,54169651,54200036,1,-1,Q6IPT4
ENSG00000143001,54980792,54992293,1,1,Q8N0U2
ENSG00000184677,22451851,22531157,1,1,Q9NUA8
ENSG00000081019,113761832,113812476,1,-1,Q5VWQ0
ENSG00000212916,232804892,232808407,1,1,Q9P2G4
ENSG00000134202,109733932,109741038,1,-1,P21266
ENSG00000143164,167935783,168075843,1,1,Q58WW2
ENSG00000116793,113696831,113759489,1,-1,Q9UMS5
ENSG00000270276,149854045,149861210,1,-1,P62805
ENSG00000117016,40620679,40665657,1,-1,Q9UJD0
ENSG00000143320,156699606,156705816,1,-1,P29373
ENSG00000118292,150268200,150280916,1,1,Q8WWF1
ENSG00000162736,160343272,160358952,1,1,Q92542
ENSG00000182004,203861603,203870550,1,1,P62304
ENSG00000162735,160276812,160286348,1,-1,P40855
ENSG00000162373,48727523,48776969,1,-1,Q7L4P6
ENSG00000077585,236142505,236221865,1,1,O60478
ENSG00000198700,201829141,201884294,1,1,Q96P70
ENSG00000204219,23381061,23424740,1,-1,O75764
ENSG00000116703,186443566,186461122,1,-1,P20941
ENSG00000184588,65792514,66374579,1,1,Q07343
ENSG00000183814,226231149,226309869,1,-1,Q5TKA1
ENSG00000117480,46394265,46413848,1,1,O00519
ENSG00000116918,231528653,231566524,1,1,Q99598
ENSG00000134258,117143587,117210960,1,-1,Q7Z7D3
ENSG00000116690,186296279,186314562,1,1,Q92954
ENSG00000243709,225886282,225911382,1,-1,O75610
ENSG00000118200,200739558,200860704,1,1,Q08AD1
ENSG00000134744,52408282,52553487,1,-1,Q5TAX3
ENSG00000134183,109603267,109619929,1,-1,P19087
ENSG00000160051,32205661,32208687,1,1,Q4KMZ1
ENSG00000116984,236795281,236903981,1,1,Q99707
ENSG00000116786,15684332,15734769,1,1,Q8IWE5
ENSG00000143815,225401502,225428925,1,-1,Q14739
ENSG00000134684,32775237,32818153,1,-1,P54577
ENSG00000077522,236686454,236764631,1,1,P35609
ENSG00000163399,116372668,116410261,1,1,P05023
ENSG00000143862,202133404,202144743,1,-1,Q96BM9
ENSG00000158747,19640554,19658456,1,1,P41271
ENSG00000118217,161766294,161964070,1,1,P18850
ENSG00000172260,71395940,72282734,1,-1,Q7Z3B1
ENSG00000136630,220879400,220885059,1,1,Q14774
ENSG00000143507,221701424,221742176,1,-1,Q9Y6W6
ENSG00000116138,15526813,15592379,1,1,Q9Y2G8
ENSG00000134222,109279556,109283186,1,-1,Q6PGN9
ENSG00000116771,15572353,15585110,1,-1,Q9BSE5
ENSG00000160072,1471769,1497848,1,1,Q5T9A4
ENSG00000263513,143955364,143971965,1,-1,H0Y354
ENSG00000158488,158353696,158357553,1,1,P15812
ENSG00000121481,185045364,185102608,1,1,Q99496
ENSG00000162746,161721563,161728143,1,1,Q6BAA4
ENSG00000173218,115641953,115698224,1,1,Q8TAA9
ENSG00000185523,212830141,212847649,1,-1,Q537H7
ENSG00000143771,224356850,224379459,1,1,Q9P003
ENSG00000162769,212858255,212899363,1,1,Q9Y5Y0
ENSG00000069424,5991466,6101193,1,1,Q13303
ENSG00000135776,229516582,229558695,1,-1,Q9NRK6
ENSG00000142949,43525187,43623666,1,1,P10586
ENSG00000198830,26472450,26475972,1,1,P05204
ENSG00000132485,71063291,71081297,1,-1,O95218
ENSG00000135801,229593111,229626047,1,-1,O75529
ENSG00000271567,144372875,144373659,1,-1,A0A075B759
ENSG00000121486,185118098,185157072,1,-1,Q7Z2T5
ENSG00000135763,229626234,229660199,1,1,Q14146
ENSG00000197785,1512151,1534687,1,1,Q9NVI7
ENSG00000131697,5862811,5992473,1,-1,O75161
ENSG00000143494,212950520,212992037,1,1,Q86V25
ENSG00000143512,222522258,222548103,1,-1,Q6UWX4
ENSG00000163485,203090654,203167405,1,1,P30542
ENSG00000143774,228139962,228148984,1,1,Q16774
ENSG00000162851,246540560,246566324,1,-1,Q9H5Q4
ENSG00000185420,245749342,246507312,1,-1,Q9H7B4
ENSG00000222009,44808482,44815585,1,1,C9JJ37
ENSG00000142959,44783585,44787705,1,-1,Q8NFU0
ENSG00000169641,23084023,23177808,1,-1,Q86V48
ENSG00000154342,228007051,228061260,1,1,P56704
ENSG00000117407,43933320,43937241,1,1,Q5T4W7
ENSG00000173369,22652762,22661538,1,1,P02746
ENSG00000117360,150321476,150353195,1,1,O43395
ENSG00000118194,201359008,201377762,1,-1,P45379
ENSG00000117650,211658657,211675630,1,-1,P51955
ENSG00000198892,201888680,201892306,1,1,Q96DD7
ENSG00000186564,47436017,47440691,1,1,O60548
ENSG00000143105,110517217,110519175,1,-1,Q16322
ENSG00000125945,23359448,23369442,1,-1,Q9C0F3
ENSG00000168679,110362848,110391082,1,-1,O15374
ENSG00000004487,23019448,23083689,1,1,O60341
ENSG00000117013,40784012,40840452,1,1,P56696
ENSG00000153187,244840638,244864560,1,-1,Q00839
ENSG00000198520,44674692,44725591,1,1,Q6PIY5
ENSG00000086015,45786987,46036124,1,1,Q6P0Q8
ENSG00000172410,66797741,66801256,1,-1,Q9Y5Q6
ENSG00000152760,66752459,66778787,1,1,Q8N7M0
ENSG00000123843,207088842,207099993,1,1,P20851
ENSG00000143033,93079235,93139081,1,1,Q9Y483
ENSG00000132704,157745733,157777132,1,-1,Q96LA5
ENSG00000173660,46303631,46316776,1,1,P07919
ENSG00000116748,114673090,114695618,1,-1,P23109
ENSG00000162852,246566444,246668584,1,1,Q6PJW8
ENSG00000132128,46261196,46303608,1,-1,Q15345
ENSG00000253831,157092044,157099808,1,-1,Q6ZN32
ENSG00000171793,40979335,41012565,1,1,P17812
ENSG00000179546,23191895,23194729,1,-1,P28221
ENSG00000143155,168178933,168202114,1,1,O75663
ENSG00000162552,22117305,22143969,1,-1,P56705
ENSG00000132718,155859509,155885199,1,1,Q9BT88
ENSG00000162378,52726467,52827342,1,1,Q9C0D3
ENSG00000081248,201039512,201112566,1,-1,Q13698
ENSG00000097046,91500893,91525764,1,1,O00311
ENSG00000162377,52684451,52698366,1,-1,Q96BR5
ENSG00000132692,156641390,156659532,1,1,Q96GW7
ENSG00000159377,151399534,151401944,1,1,P28070
ENSG00000116525,33145402,33182059,1,-1,Q9BVG3
