Entry	Entry name	Protein names	yourlist:M20180509F725F458AC8690F874DD868E4ED79B88FE4F7BJ
Q504Y2	PKDCC_HUMAN	Extracellular tyrosine-protein kinase PKDCC (EC 2.7.10.2) (Protein kinase domain-containing protein, cytoplasmic) (Protein kinase-like protein SgK493) (Sugen kinase 493) (Vertebrate lonesome kinase)	NM_138370
P01229	LSHB_HUMAN	Lutropin subunit beta (Lutropin beta chain) (Luteinizing hormone subunit beta) (LH-B) (LSH-B) (LSH-beta)	NM_000894
Q9UIH9	KLF15_HUMAN	Krueppel-like factor 15 (Kidney-enriched krueppel-like factor)	NM_014079
Q5JTN6	WDR38_HUMAN	WD repeat-containing protein 38	NM_001045476
Q6U7Q0	ZN322_HUMAN	Zinc finger protein 322 (Zinc finger protein 322A) (Zinc finger protein 388) (Zinc finger protein 489)	NM_024639
Q9UIY3	RWD2A_HUMAN	RWD domain-containing protein 2A	NM_033411
P18283	GPX2_HUMAN	Glutathione peroxidase 2 (GPx-2) (GSHPx-2) (EC 1.11.1.9) (Gastrointestinal glutathione peroxidase) (Glutathione peroxidase-gastrointestinal) (GPx-GI) (GSHPx-GI) (Glutathione peroxidase-related protein 2) (GPRP-2)	NM_002083
Q86WC6	PPR27_HUMAN	Protein phosphatase 1 regulatory subunit 27 (Dysferlin-interacting protein 1) (Toonin)	NM_001007533
Q9BPW5	RSLBB_HUMAN	Ras-like protein family member 11B	NM_023940
Q99678	GPR20_HUMAN	G-protein coupled receptor 20	NM_005293
Q96LT6	CA074_HUMAN	UPF0739 protein C1orf74	NM_152485
P78543	BTG2_HUMAN	Protein BTG2 (BTG family member 2) (NGF-inducible anti-proliferative protein PC3)	NM_006763
Q9UIE0	ZN230_HUMAN	Zinc finger protein 230 (Zinc finger protein FDZF2)	NM_006300
Q8IV03	LUR1L_HUMAN	Leucine rich adaptor protein 1-like	NM_203403
Q9BYG5	PAR6B_HUMAN	Partitioning defective 6 homolog beta (PAR-6 beta) (PAR-6B)	NM_032521
O43827	ANGL7_HUMAN	Angiopoietin-related protein 7 (Angiopoietin-like factor) (Angiopoietin-like protein 7) (Cornea-derived transcript 6 protein)	NM_021146
Q9Y473	ZN175_HUMAN	Zinc finger protein 175 (Zinc finger protein OTK18)	NM_007147
Q86TM3	DDX53_HUMAN	Probable ATP-dependent RNA helicase DDX53 (EC 3.6.4.13) (Cancer-associated gene protein) (Cancer/testis antigen 26) (CT26) (DEAD box protein 53) (DEAD box protein CAGE)	NM_182699
Q13145	BAMBI_HUMAN	BMP and activin membrane-bound inhibitor homolog (Non-metastatic gene A protein) (Putative transmembrane protein NMA)	NM_012342
Q5JWF8	ACL10_HUMAN	Actin-like protein 10	NM_001024675
Q7L3T8	SYPM_HUMAN	Probable proline--tRNA ligase, mitochondrial (EC 6.1.1.15) (Prolyl-tRNA synthetase) (ProRS)	NM_152268
Q96S99	PKHF1_HUMAN	Pleckstrin homology domain-containing family F member 1 (PH domain-containing family F member 1) (Lysosome-associated apoptosis-inducing protein containing PH and FYVE domains) (Apoptosis-inducing protein) (PH and FYVE domain-containing protein 1) (Phafin-1) (Zinc finger FYVE domain-containing protein 15)	NM_024310
Q08ER8	ZN543_HUMAN	Zinc finger protein 543	NM_213598
Q9Y2Y4	ZBT32_HUMAN	Zinc finger and BTB domain-containing protein 32 (FANCC-interacting protein) (Fanconi anemia zinc finger protein) (Testis zinc finger protein) (Zinc finger protein 538)	NM_014383
Q9H4T2	ZSC16_HUMAN	Zinc finger and SCAN domain-containing protein 16 (Zinc finger protein 392) (Zinc finger protein 435)	NM_025231
Q8N912	NRAC_HUMAN	Nutritionally-regulated adipose and cardiac enriched protein homolog	NM_001008404
Q8NCQ7	PRCA1_HUMAN	Protein PROCA1 (Protein interacting with cyclin A1)	NM_152465
Q96MK3	FA20A_HUMAN	Pseudokinase FAM20A	NM_017565
P56202	CATW_HUMAN	Cathepsin W (EC 3.4.22.-) (Lymphopain)	NM_001335
Q96B67	ARRD3_HUMAN	Arrestin domain-containing protein 3 (TBP-2-like inducible membrane protein) (TLIMP)	NM_020801
P07510	ACHG_HUMAN	Acetylcholine receptor subunit gamma	NM_005199
O95396	MOCS3_HUMAN	Adenylyltransferase and sulfurtransferase MOCS3 (Molybdenum cofactor synthesis protein 3) (Molybdopterin synthase sulfurylase) (MPT synthase sulfurylase) [Includes: Molybdopterin-synthase adenylyltransferase (EC 2.7.7.80) (Adenylyltransferase MOCS3) (Sulfur carrier protein MOCS2A adenylyltransferase); Molybdopterin-synthase sulfurtransferase (EC 2.8.1.11) (Sulfur carrier protein MOCS2A sulfurtransferase) (Sulfurtransferase MOCS3)]	NM_014484
Q9P0J1	PDP1_HUMAN	[Pyruvate dehydrogenase [acetyl-transferring]]-phosphatase 1, mitochondrial (PDP 1) (EC 3.1.3.43) (Protein phosphatase 2C) (Pyruvate dehydrogenase phosphatase catalytic subunit 1) (PDPC 1)	NM_018444
Q96CG8	CTHR1_HUMAN	Collagen triple helix repeat-containing protein 1 (Protein NMTC1)	NM_138455
Q96RU8	TRIB1_HUMAN	Tribbles homolog 1 (TRB-1) (G-protein-coupled receptor-induced gene 2 protein) (GIG-2) (SKIP1)	NM_025195
Q5VVQ6	OTU1_HUMAN	Ubiquitin thioesterase OTU1 (EC 3.4.19.12) (DUBA-8) (HIV-1-induced protease 7) (HIN-7) (HsHIN7) (OTU domain-containing protein 2)	NM_018566
Q99665	I12R2_HUMAN	Interleukin-12 receptor subunit beta-2 (IL-12 receptor subunit beta-2) (IL-12R subunit beta-2) (IL-12R-beta-2) (IL-12RB2)	NM_001559
Q9H3M7	TXNIP_HUMAN	Thioredoxin-interacting protein (Thioredoxin-binding protein 2) (Vitamin D3 up-regulated protein 1)	NM_006472
Q8N8J6	ZN615_HUMAN	Zinc finger protein 615	NM_198480
Q9BS40	LXN_HUMAN	Latexin (Endogenous carboxypeptidase inhibitor) (ECI) (Protein MUM) (Tissue carboxypeptidase inhibitor) (TCI)	NM_020169
Q7Z6I5	SPT12_HUMAN	Spermatogenesis-associated protein 12 (Spermatogenesis-related protein 5)	NM_181727
Q6JVE6	LCN10_HUMAN	Epididymal-specific lipocalin-10	NM_001001712
Q16649	NFIL3_HUMAN	Nuclear factor interleukin-3-regulated protein (E4 promoter-binding protein 4) (Interleukin-3 promoter transcriptional activator) (Interleukin-3-binding protein 1) (Transcriptional activator NF-IL3A)	NM_005384
Q86UR1	NOXA1_HUMAN	NADPH oxidase activator 1 (NOX activator 1) (Antigen NY-CO-31) (NCF2-like protein) (P67phox-like factor) (p51-nox)	NM_006647
P31267	HXA6_HUMAN	Homeobox protein Hox-A6 (Homeobox protein Hox-1B)	NM_024014
Q8IYT2	CMTR2_HUMAN	Cap-specific mRNA (nucleoside-2'-O-)-methyltransferase 2 (EC 2.1.1.296) (Cap methyltransferase 2) (Cap2 2'O-ribose methyltransferase 2) (HMTr2) (MTr2) (FtsJ methyltransferase domain-containing protein 1) (Protein adrift homolog)	NM_018348
Q15078	CD5R1_HUMAN	Cyclin-dependent kinase 5 activator 1 (CDK5 activator 1) (Cyclin-dependent kinase 5 regulatory subunit 1) (TPKII regulatory subunit) [Cleaved into: Cyclin-dependent kinase 5 activator 1, p35 (p35); Cyclin-dependent kinase 5 activator 1, p25 (p25) (Tau protein kinase II 23 kDa subunit) (p23)]	NM_003885
Q8TAL6	FIBIN_HUMAN	Fin bud initiation factor homolog	NM_203371
Q9Y4A0	JERKL_HUMAN	Jerky protein homolog-like (Human homolog of mouse jerky gene protein) (HHMJG)	NM_003772
Q7RTY5	PRS48_HUMAN	Serine protease 48 (EC 3.4.21.-) (Epidermis-specific serine protease-like protein)	NM_183375
Q96JP0	FEM1C_HUMAN	Protein fem-1 homolog C (FEM1c) (FEM1-gamma)	NM_020177
Q6UX46	ALKL2_HUMAN	ALK and LTK ligand 2 (Augmentor alpha) (AUG-alpha) (Protein FAM150B)	NM_001002919
Q9NZQ0	DJC27_HUMAN	DnaJ homolog subfamily C member 27 (Rab and DnaJ domain-containing protein)	NM_016544
Q9H6R7	WDCP_HUMAN	WD repeat and coiled-coil-containing protein	NM_025203
Q9UIW0	VAX2_HUMAN	Ventral anterior homeobox 2	NM_012476
O95685	PPR3D_HUMAN	Protein phosphatase 1 regulatory subunit 3D (Protein phosphatase 1 regulatory subunit 6) (PP1 subunit R6) (Protein phosphatase 1-binding subunit R6)	NM_006242
